Current_question_number,Guidance_URLs,Edited_question_number
C-FS3.6b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.6b&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.6b
C-FS3.6c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.6c&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.6c
C-FS3.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.7
C-FS3.7a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.7a&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.7a
C-FS3.8,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.8&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.8
C-FS3.8a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS3.8a&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS3.8a
C4.1,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.1&otype=ORS&incchild=1&microsite=1&gettags=1,C4.1
C4.1a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.1a&otype=ORS&incchild=1&microsite=1&gettags=1,C4.1a
C4.1b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.1b&otype=ORS&incchild=1&microsite=1&gettags=1,C4.1b
C4.1c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.1c&otype=ORS&incchild=1&microsite=1&gettags=1,C4.1c
C-FS4.1d,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS4.1d&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS4.1d
C4.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.2&otype=ORS&incchild=1&microsite=1&gettags=1,C4.2
C4.2a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.2a&otype=ORS&incchild=1&microsite=1&gettags=1,C4.2a
C4.2b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.2b&otype=ORS&incchild=1&microsite=1&gettags=1,C4.2b
C4.2c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.2c&otype=ORS&incchild=1&microsite=1&gettags=1,C4.2c
C-CO4.2d,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO4.2d&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO4.2d
C-OG4.2d,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG4.2d&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG4.2d
C4.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.3&otype=ORS&incchild=1&microsite=1&gettags=1,C4.3
C4.3a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.3a&otype=ORS&incchild=1&microsite=1&gettags=1,C4.3a
C4.3b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.3b&otype=ORS&incchild=1&microsite=1&gettags=1,C4.3b
C4.3c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.3c&otype=ORS&incchild=1&microsite=1&gettags=1,C4.3c
C4.3d,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.3d&otype=ORS&incchild=1&microsite=1&gettags=1,C4.3d
C-AC4.4/C-FB4.4/C-PF4.4,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC4.4/C-FB4.4/C-PF4.4&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC4.4_C-FB4.4_C-PF4.4
C-AC4.4a/C-FB4.4a/C-PF4.4a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC4.4a/C-FB4.4a/C-PF4.4a&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC4.4a_C-FB4.4a_C-PF4.4a
C4.5,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.5&otype=ORS&incchild=1&microsite=1&gettags=1,C4.5
C4.5a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C4.5a&otype=ORS&incchild=1&microsite=1&gettags=1,C4.5a
C-FS4.5,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS4.5&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS4.5
C-FS4.5a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-FS4.5a&otype=ORS&incchild=1&microsite=1&gettags=1,C-FS4.5a
C-CO4.6,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO4.6&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO4.6
C-EU4.6,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-EU4.6&otype=ORS&incchild=1&microsite=1&gettags=1,C-EU4.6
C-OG4.6,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG4.6&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG4.6
C-CO4.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO4.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO4.7
C-OG4.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG4.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG4.7
C-CO4.7a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO4.7a&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO4.7a
C-OG4.7a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG4.7a&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG4.7a
C-CO4.7b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO4.7b&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO4.7b
